Title,Authors,Publication Link,id
Dynamic Source Routing under Attacks,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/publications/dynamic-source-routing-under-attacks,11
Stock Liquidity and SMEs’ Likelihood of Bankruptcy: Evidence from the US Market,Mohamad Nazri Abd Karim,https://pureportal.coventry.ac.uk/en/publications/stock-liquidity-and-smes-likelihood-of-bankruptcy-evidence-from-t,12
"Personalisation of power, neoliberalism and the production of corruption",Mohamad Nazri Mohamad,https://pureportal.coventry.ac.uk/en/publications/personalisation-of-power-neoliberalism-and-the-production-of-corr,13
Stock Price and Volume Effects Associated with Changes in the Composition of the FTSE Bursa Malaysian KLCI,Mohamad Nazri Abd Karim,https://pureportal.coventry.ac.uk/en/publications/stock-price-and-volume-effects-associated-with-changes-in-the-com,14
"Social Impacts of a Mega-Dam Project as Perceived by Local, Resettled and Displaced Communities: A Case Study of Merowe Dam, Sudan",Al-Noor Abdullah,https://pureportal.coventry.ac.uk/en/publications/social-impacts-of-a-mega-dam-project-as-perceived-by-local-resett,15
"Economic Contributions of Mega-Dam Infrastructure as Perceived by Local and Displaced Communities: A Case Study of Merowe Dam, Sudan",Al-Noor Abdullah,https://pureportal.coventry.ac.uk/en/publications/economic-contributions-of-mega-dam-infrastructure-as-perceived-by,16
Assessing the Use of Gold as a Zero-Beta Asset in Empirical Asset Pricing: Application to the US Equity Market,Muhammad Abdullah,https://pureportal.coventry.ac.uk/en/publications/assessing-the-use-of-gold-as-a-zero-beta-asset-in-empirical-asset,17
Analysing the Predictivity of Features to Characterise the searchfunction Space,Rakib Abdur,https://pureportal.coventry.ac.uk/en/publications/analysing-the-predictivity-of-features-to-characterise-the-searchfunction,18
Memory-Constrained Context-Aware Reasoning,Rakib Abdur,https://pureportal.coventry.ac.uk/en/publications/memory-constrained-context-aware-reasoning,19
Transfer Learning for Operator Selection: A Reinforcement Learning Approach,Abdur Rakib,https://pureportal.coventry.ac.uk/en/publications/transfer-learning-for-operator-selection-a-reinforcement-learning,20
Transfer Learning for Operator Selection: A Reinforcement Learning Approach,Abdur Rakib,https://pureportal.coventry.ac.uk/en/publications/transfer-learning-for-operator-selection-a-reinforcement-learning-2,21
Model checking ontology‐driven reasoning agents using strategy and abstraction,Abdur Rakib,https://pureportal.coventry.ac.uk/en/publications/model-checking-ontologydriven-reasoning-agents-using-strategy-and,22
Getting what you deserve?,Jackie Abell,https://pureportal.coventry.ac.uk/en/publications/getting-what-you-deserve,23
Stakeholder Perceptions of Success in Human-Carnivore Coexistence Interventions,Jackie Abell,https://pureportal.coventry.ac.uk/en/publications/stakeholder-perceptions-of-success-in-human-carnivore-coexistence,24
Artificial Insemination in Captive Lions is Bad News for Conservation,Jackie Abell,https://pureportal.coventry.ac.uk/en/publications/artificial-insemination-in-captive-lions-is-bad-news-for-conserva,25
Evaluation of the use of psychometric scales in human–wildlife interaction researchfunction to determine attitudes and tolerance toward wildlife,Jackie Abell,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-use-of-psychometric-scales-in-humanwildlife-int,26
‘You come back fighting. That’s what gives you the drive to achieve’: The extraordinary psychological construction of the super-rich in entertainment documentaries,Adam Jowett,https://pureportal.coventry.ac.uk/en/publications/you-come-back-fighting-thats-what-gives-you-the-drive-to-achieve-,27
Harnessing African Free Trade Area and WTO for Clean Energy Transition,Umut Turksen,https://pureportal.coventry.ac.uk/en/publications/harnessing-african-free-trade-area-and-wto-for-clean-energy-trans,28
OECD’s Global Principles and EU’s tax crime measures,Umut Turksen,https://pureportal.coventry.ac.uk/en/publications/oecds-global-principles-and-eus-tax-crime-measures,29
The Fiscal Regime for UK Shale Gas: Analysing the Impacts of Pad Allowance on Shale Gas Investments,Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/publications/the-fiscal-regime-for-uk-shale-gas-analysing-the-impacts-of-pad-a,30
Brexit and UK Energy Security: Perspectives from Unconventional Gas Investment and the Effects of Shale Gas on UK Energy Prices,Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/publications/brexit-and-uk-energy-security-perspectives-from-unconventional-ga,31
Coalbed Methane Development in Indonesia: Design and Economic Analysis of Upstream Petroleum Fiscal Policy,Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/publications/coalbed-methane-development-in-indonesia-design-and-economic-anal,32
Integrating Human Factors (HF) into a Process Safety Management System (PSMS),Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/publications/integrating-human-factors-hf-into-a-process-safety-management-sys,33
Oil and Gas Production and the Growth of Ghana’s Economy: An Initial Assessment,Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/publications/oil-and-gas-production-and-the-growth-of-ghanas-economy-an-initia,34
Association of birthweight centiles and early childhood development of singleton infants born from 37 weeks of gestation in Scotland: A population-based cohort study,Abiodun Adanikin,https://pureportal.coventry.ac.uk/en/publications/association-of-birthweight-centiles-and-early-childhood-developme,35
"Quality and outcomes of maternal and perinatal care for 76,563 pregnancies reported in a nationwide network of Nigerian referral-level hospitals",Abiodun Adanikin,https://pureportal.coventry.ac.uk/en/publications/quality-and-outcomes-of-maternal-and-perinatal-care-for-76563-pre,36
Prevalence of abnormal umbilical arterial flow on Doppler ultrasound in low-risk and unselected pregnant women: a systematic review,A. I. Adanikin,https://pureportal.coventry.ac.uk/en/publications/prevalence-of-abnormal-umbilical-arterial-flow-on-doppler-ultraso,37
Maternal near-miss and death associated with abortive pregnancy outcome: a secondary analysis of the Nigeria Near-miss and Maternal Death Survey,Abiodun Idowu Adanikin,https://pureportal.coventry.ac.uk/en/publications/maternal-near-miss-and-death-associated-with-abortive-pregnancy-o,38
Power relations and negotiations in contraceptive decision-making when husbands oppose family planning: analysis of ethnographic vignette couple data in Southwest Nigeria,Victor Aderogba Adebiyi,https://pureportal.coventry.ac.uk/en/publications/power-relations-and-negotiations-in-contraceptive-decision-making,39
Nanostructural interface and strength of polymer composite scaffolds applied to intervertebral bone,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/publications/nanostructural-interface-and-strength-of-polymer-composite-scaffo,40
Agent-Based Heuristics Model for Measuring Customer Disruption Impact on Production and Inventory Replenishment,Tunde Victor Adediran,https://pureportal.coventry.ac.uk/en/publications/agent-based-heuristics-model-for-measuring-customer-disruption-im,41
Agent-Based Modelling and Heuristic Approach for Solving Complex OEM Flow-Shop Productions under Customer Disruptions,Tunde Victor Adediran,https://pureportal.coventry.ac.uk/en/publications/agent-based-modelling-and-heuristic-approach-for-solving-complex-,42
Developing an Agent Based Heuristic Optimisation System for Complex Flow Shops with Customer-Imposed Production Disruptions,Tunde Victor Adediran,https://pureportal.coventry.ac.uk/en/publications/developing-an-agent-based-heuristic-optimisation-system-for-compl,43
Agent Based Model for Complex Flow Shop Manufacturing Systems with Customer-Related Production Disruptions,Samuel Moore,https://pureportal.coventry.ac.uk/en/publications/agent-based-model-for-complex-flow-shop-manufacturing-systems-wit,44
4. Governance Models and Structures,Janneke Adema,https://pureportal.coventry.ac.uk/en/publications/4-governance-models-and-structures,45
"6. Governance Self-Assessment, External Criteria, and Maintenance",Janneke Adema,https://pureportal.coventry.ac.uk/en/publications/6-governance-self-assessment-external-criteria-and-maintenance,46
7. Conclusion,Janneke Adema,https://pureportal.coventry.ac.uk/en/publications/7-conclusion,47
Books Contain Multitudes: Exploring Experimental Publishing (2022 update),Janneke Adema,https://pureportal.coventry.ac.uk/en/publications/books-contain-multitudes-exploring-experimental-publishing-2022-u,48
Open Book Collective: Our Organisational Model,James Adie,https://pureportal.coventry.ac.uk/en/publications/open-book-collective-our-organisational-model,49
Applying the utility index to review single best answer questions in medical education assessment,James Adie,https://pureportal.coventry.ac.uk/en/publications/applying-the-utility-index-to-review-single-best-answer-questions,50
Approach-achievement goals and motivational context on psycho-physiological functioning and performance among novice basketball players,James Adie,https://pureportal.coventry.ac.uk/en/publications/approach-achievement-goals-and-motivational-context-on-psycho-phy,51
Motivational processes in the coach-athlete relationship: A multi-cultural self-determination approach,James W. Adie,https://pureportal.coventry.ac.uk/en/publications/motivational-processes-in-the-coach-athlete-relationship-a-multi-,52
The effects of learning imagery under different motivational conditions on the psychomotor performance and well-being of novice dart-throwers: A self-determination perspective.,James W. Adie,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-learning-imagery-under-different-motivational-cond-2,53
Applying the TCTSA to explore athletes' temporal approach to performance,Louise Birgitta Adkins,https://pureportal.coventry.ac.uk/en/publications/applying-the-tctsa-to-explore-athletes-temporal-approach-to-perfo-2,54
INHALE pause Exhale,Louise Birgitta Adkins,https://pureportal.coventry.ac.uk/en/publications/inhale-pause-exhale,55
INHALE Pause EXHALE: DRAWING-IN-BREATHING-OUT.,Louise Birgitta Adkins,https://pureportal.coventry.ac.uk/en/publications/inhale-pause-exhale-drawing-in-breathing-out,56
"On Smoke and Fog: Performance Re-visioning, Remembrance and Reclamation",Louise Birgitta Adkins,https://pureportal.coventry.ac.uk/en/publications/on-smoke-and-fog-performance-re-visioning-remembrance-and-reclama,57
Notes for a Performance – Weather Permitting,Louise Birgitta Adkins,https://pureportal.coventry.ac.uk/en/publications/notes-for-a-performance-weather-permitting,58
Notes for a Performance – (Re) visioning a Smoky Meeting: Notes for a Performance – (Re) visioning a Smoky Meeting,Araz Agha,https://pureportal.coventry.ac.uk/en/publications/notes-for-a-performance-re-visioning-a-smoky-meeting-notes-for-a-,59
"London’s Off-Site Manufactured Housing Model as a Practical Solution to Change the Future of High Density Cities: A Feasibility Study to Implement it in Baghdad, Al-Sadr City",Abdussalam Shibani,https://pureportal.coventry.ac.uk/en/publications/londons-off-site-manufactured-housing-model-as-a-practical-soluti,60
Benefits and Challenges of Implementing Six Sigma: “As a Process Improvement Management Strategy”,Abdussalam Shibani,https://pureportal.coventry.ac.uk/en/publications/benefits-and-challenges-of-implementing-six-sigma-as-a-process-im,61
Causes of time overruns in the construction industry in Egypt,Abdussalam Shibani,https://pureportal.coventry.ac.uk/en/publications/causes-of-time-overruns-in-the-construction-industry-in-egypt,62
Challenges and Barriers to Women in the UK Construction Industry,Abdussalam Shibani,https://pureportal.coventry.ac.uk/en/publications/challenges-and-barriers-to-women-in-the-uk-construction-industry,63
"Construction industry and women: a Review of the barriers,",Daniel Aghanya,https://pureportal.coventry.ac.uk/en/publications/construction-industry-and-women-a-review-of-the-barriers,64
Corporate Political Activity and Bribery in Africa: Do Internet Penetration and Foreign Ownership Matter?,Daniel Aghanya,https://pureportal.coventry.ac.uk/en/publications/corporate-political-activity-and-bribery-in-africa-do-internet-pe,65
Corporate Political Strategies in Weak Institutional Environments: A Break from Conventions,Daniel Aghanya,https://pureportal.coventry.ac.uk/en/publications/corporate-political-strategies-in-weak-institutional-environments,66
"Market in Financial Instruments Directive (MiFID), stock price informativeness and liquidity",Daniel Aghanya,https://pureportal.coventry.ac.uk/en/publications/market-in-financial-instruments-directive-mifid-stock-price-infor,67
The effect of government involvement and payment method on merger and acquisition performance: the case of China,Daniel Aghanya,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-government-involvement-and-payment-method-on-merger,68
"The impact of regulations on compliance costs, risk-taking, and reporting quality of the EU banks",Abel Mawuko Agoba,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-regulations-on-compliance-costs-risk-taking-and-rep,69
The push for financial inclusion in Africa: Should central banks be wary of political institutional quality and literacy rates?,Abel Mawuko Agoba,https://pureportal.coventry.ac.uk/en/publications/the-push-for-financial-inclusion-in-africa-should-central-banks-b,70
Harnessing the synergies of independent central banks and human capital for enhanced financial sector development in Africa,Bilal Ahmad,https://pureportal.coventry.ac.uk/en/publications/harnessing-the-synergies-of-independent-central-banks-and-human-c,71
Digital Image Correlation for Measuring Full-Field Residual Stresses in Wire and Arc Additive Manufactured Components,Bilal Ahmad,https://pureportal.coventry.ac.uk/en/publications/digital-image-correlation-for-measuring-full-field-residual-stres,72
Effects of Process Variants on Residual Stresses in Wire Arc Additive Manufacturing of Aluminum Alloy 5183,Bilal Ahmad,https://pureportal.coventry.ac.uk/en/publications/effects-of-process-variants-on-residual-stresses-in-wire-arc-addi,73
Influence of Deposition Strategies on Residual Stress in Wire + Arc Additive Manufactured Titanium Ti‐6Al‐4V,Abdul Syed,https://pureportal.coventry.ac.uk/en/publications/influence-of-deposition-strategies-on-residual-stress-in-wire-arc,74
An experimental study of residual stress and direction-dependence of fatigue crack growth behaviour in as-built and stress-relieved selective-laser-melted Ti6Al4V,Bilal Ahmad,https://pureportal.coventry.ac.uk/en/publications/an-experimental-study-of-residual-stress-and-direction-dependence,75
Evaluation of residual stresses induced by cold spraying of Ti-6Al-4V on Ti-6Al-4V substrates,Farah Mahdi Yaseen Al-Sallami,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-residual-stresses-induced-by-cold-spraying-of-ti-6a,76
Impact of Dynamic Traffic on Vehicle-to-Vehicle Visible Light Communication Systems,Z Ahmad,https://pureportal.coventry.ac.uk/en/publications/impact-of-dynamic-traffic-on-vehicle-to-vehicle-visible-light-com,77
Performance Evaluation of NRZ-OOK and Carrier-Less Amplitude Phase Modulation in Li-Fi Environment,Farah Al-sallami,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-nrz-ook-and-carrier-less-amplitude-phas,78
Scalar Minimax Filter-based Phase Tracking for Continuous-Variable Quantum Key Distribution,Farah Mahdi Yaseen Al-Sallami,https://pureportal.coventry.ac.uk/en/publications/scalar-minimax-filter-based-phase-tracking-for-continuous-variabl,79
Impact of Vehicle Headlights Radiation Pattern on Dynamic Vehicular VLC Channel,Farah Mahdi Yaseen Al-Sallami,https://pureportal.coventry.ac.uk/en/publications/impact-of-vehicle-headlights-radiation-pattern-on-dynamic-vehicul,80
Statistical channel modelling of dynamic vehicular visible light communication system,Hany Ahmed,https://pureportal.coventry.ac.uk/en/publications/statistical-channel-modelling-of-dynamic-vehicular-visible-light-,81
Corporate hedging and the cost of equity capital,Hany Ahmed,https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital,82
Is corporate hedging always beneficial? A theoretical and empirical analysis,Imtiaz Ahmed,https://pureportal.coventry.ac.uk/en/publications/is-corporate-hedging-always-beneficial-a-theoretical-and-empirica,83
Performance evaluation of asphalt binders modified with waste engine oil and various additives,Mohammed Ahmed,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-asphalt-binders-modified-with-waste-eng,84
"Autonomous Vehicle and its Adoption: Challenges, Opportunities, and Future Implications",Mohammed Lawal Ahmed,https://pureportal.coventry.ac.uk/en/publications/autonomous-vehicle-and-its-adoption-challenges-opportunities-and-,85
Predicting the Public Adoption of Connected and Autonomous Vehicles,Mohammed Ahmed,https://pureportal.coventry.ac.uk/en/publications/predicting-the-public-adoption-of-connected-and-autonomous-vehicl,86
Investigating the Effect of Mass Variation for Sliding Mode Control of Functional Electrical Stimulation Aided Sit-to-Stand in Paraplegia,M. Ahmed,https://pureportal.coventry.ac.uk/en/publications/investigating-the-effect-of-mass-variation-for-sliding-mode-contr,87
A new method towards achieving FES-induced movement,M. Ahmed,https://pureportal.coventry.ac.uk/en/publications/a-new-method-towards-achieving-fes-induced-movement,88
Restoration of Movement using FES: An Introductory Study I,Sarfraz Ahmed,https://pureportal.coventry.ac.uk/en/publications/restoration-of-movement-using-fes-an-introductory-study-i,89
Pedestrian and Cyclist Detection and Intent Estimation for Autonomous Vehicles: A Survey,Sarfraz Ahmed,https://pureportal.coventry.ac.uk/en/publications/pedestrian-and-cyclist-detection-and-intent-estimation-for-autono,90
Visual and Thermal Data for Pedestrian and Cyclist Detection,Farah Mahdi Yaseen Al-Sallami,https://pureportal.coventry.ac.uk/en/publications/visual-and-thermal-data-for-pedestrian-and-cyclist-detection,91
Impact of Vehicle Headlights Radiation Pattern on Dynamic Vehicular VLC Channel,Olubunmi Ajala,https://pureportal.coventry.ac.uk/en/publications/impact-of-vehicle-headlights-radiation-pattern-on-dynamic-vehicul,92
Understanding Public Sentiment in Relation to the African Continental Free Trade Agreement,Olubunmi Ajala,https://pureportal.coventry.ac.uk/en/publications/understanding-public-sentiment-in-relation-to-the-african-contine,93
Do lockdown and testing help in curbing COVID-19 transmission?,Michael Ajao-Olarinoye,https://pureportal.coventry.ac.uk/en/publications/do-lockdown-and-testing-help-in-curbing-covid-19-transmission,94
Allocating Medical Resources (vaccine) to Control a Pandemic,D.B. Akinniyi,https://pureportal.coventry.ac.uk/en/publications/allocating-medical-resources-vaccine-to-control-a-pandemic,95
Volume change behaviour of a saturated lateritic clay under thermal cycles,D.B. Akinniyi,https://pureportal.coventry.ac.uk/en/publications/volume-change-behaviour-of-a-saturated-lateritic-clay-under-therm,96
Experimental study of hydromechanical behaviour of a compacted lateritic sandy lean clay,D.B. Akinniyi,https://pureportal.coventry.ac.uk/en/publications/experimental-study-of-hydromechanical-behaviour-of-a-compacted-la,97
Influence of structure on the compression and shear behaviour of a saturated lateritic clay,D.B. Akinniyi,https://pureportal.coventry.ac.uk/en/publications/influence-of-structure-on-the-compression-and-shear-behaviour-of-,98
"Comparisons of weathered lateritic, granitic and volcanic soils: Compressibility and shear strength",Damilola Akinniyi,https://pureportal.coventry.ac.uk/en/publications/comparisons-of-weathered-lateritic-granitic-and-volcanic-soils-co,99
Bone ash influence on soil consolidation,Michail Akritidis,https://pureportal.coventry.ac.uk/en/publications/bone-ash-influence-on-soil-consolidation,100
Corrections to scaling in geometrical clusters of the 2D Ising model,Lara Alamad,https://pureportal.coventry.ac.uk/en/publications/corrections-to-scaling-in-geometrical-clusters-of-the-2d-ising-mo,101
Supporting multiple birth families: Perceptions and experiences of health visitors,Samir Alamad,https://pureportal.coventry.ac.uk/en/publications/supporting-multiple-birth-families-perceptions-and-experiences-of,102
A shared boundary object: Financial innovation and engineering in Islamic financial institutions,Samir Alamad,https://pureportal.coventry.ac.uk/en/publications/a-shared-boundary-object-financial-innovation-and-engineering-in-,103
Case Studies of Shari’ah Governance in Practice: United Kingdom and Europe,Samir Alamad,https://pureportal.coventry.ac.uk/en/publications/case-studies-of-shariah-governance-in-practice-united-kingdom-and,104
Financial and Accounting Principles in Islamic Finance,Samir Alamad,https://pureportal.coventry.ac.uk/en/publications/financial-and-accounting-principles-in-islamic-finance,105
Stress Testing and Reverse Stress Testing: An Approach for a Resilient Islamic Financial Industry,Samir Alamad,https://pureportal.coventry.ac.uk/en/publications/stress-testing-and-reverse-stress-testing-an-approach-for-a-resil,106
Islamic Finance Ethics and Perception of Western Consumers,Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/publications/islamic-finance-ethics-and-perception-of-western-consumers,107
Closedness and openness in Tehran; a feminist critique of Sennett,Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/publications/closedness-and-openness-in-tehran-a-feminist-critique-of-sennett,108
Embodied Openness,Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/publications/embodied-openness,109
"Excitement, Courage and Fear The Affective Dimension of Ethnographic Fieldwork at Night in Tehran",Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/publications/excitement-courage-and-fear-the-affective-dimension-of-ethnograph,110
Medicalising Uprightness: Do medical advances make us long to be taller?,Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/publications/medicalising-uprightness-do-medical-advances-make-us-long-to-be-t,111
Right to the Public Space; The Case of Tehran,Saif Alatrash,https://pureportal.coventry.ac.uk/en/publications/right-to-the-public-space-the-case-of-tehran,112
Interactive storytelling experience for museums in the era of COVID-19,Saif Alatrash,https://pureportal.coventry.ac.uk/en/publications/interactive-storytelling-experience-for-museums-in-the-era-of-cov,113
The Potential of Implementing Interactive Storytelling Experience for Museums,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/publications/the-potential-of-implementing-interactive-storytelling-experience,114
Agent-Based Heuristics Model for Measuring Customer Disruption Impact on Production and Inventory Replenishment,Ammar Al-Bazi,https://pureportal.coventry.ac.uk/en/publications/agent-based-heuristics-model-for-measuring-customer-disruption-im,115
A multi-objective centralised agent-based optimisation approach for vehicle routing problem with unique vehicles,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/publications/a-multi-objective-centralised-agent-based-optimisation-approach-f,116
An Adaptive Backpropagation Algorithm for Long Term Electricity Load Forecasting,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/publications/an-adaptive-backpropagation-algorithm-for-long-term-electricity-l,117
An Agent-Based Optimisation Approach for Vehicle Routing Problem with Unique Vehicle Location and Depot,Ammar F. J. Al-Bazi,https://pureportal.coventry.ac.uk/en/publications/an-agent-based-optimisation-approach-for-vehicle-routing-problem-,118
An Efficient Inventory Model-Based GA For Food Deterioration Products In The Tourism Industry,Reda Al Bodour,https://pureportal.coventry.ac.uk/en/publications/an-efficient-inventory-model-based-ga-for-food-deterioration-prod,119
QoS within Business Grid Quality of Service (BGQoS),Reda Al-Bodour,https://pureportal.coventry.ac.uk/en/publications/qos-within-business-grid-quality-of-service-bgqos-2,120
High level QoS-driven model for Grid applications in a simulated environment,Reda Al Bodour,https://pureportal.coventry.ac.uk/en/publications/high-level-qos-driven-model-for-grid-applications-in-a-simulated--2,121
An extension of GridSim for quality of service,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/publications/an-extension-of-gridsim-for-quality-of-service,122
An evaluation of the antimicrobial effects of phytochemical fractions from Prosopsis africana and Uvaria chamae against Staphylococcus aureus and Pseudomonas aeruginosa,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-the-antimicrobial-effects-of-phytochemical-fract,123
Antibiofilm activity of Prosopis africana and Uvaria chamae extracts against preformed biofilm of Clostridium difficile and Propionibacterium acnes strains,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/publications/antibiofilm-activity-of-prosopis-africana-and-uvaria-chamae-extra,124
"Antimicrobial activity of selected herbal extracts against Propionibacterium acnes, the causative agent of skin acne lesions",Tim Aldsworth,https://pureportal.coventry.ac.uk/en/publications/antimicrobial-activity-of-selected-herbal-extracts-against-propio,125
Is there a role for the bacterial suicide response in antibiotic sensitivity testing?,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/publications/is-there-a-role-for-the-bacterial-suicide-response-in-antibiotic--2,126
Growth-phase related sensitivity to antibiotics; implications for therapy?,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/publications/growth-phase-related-sensitivity-to-antibiotics-implications-for--2,127
Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,128
Audit committees’ oversight role in developing countries: evidence from Jordan,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/publications/audit-committees-oversight-role-in-developing-countries-evidence-,129
Does state ownership affect R&D investments? Evidence from China,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/publications/does-state-ownership-affect-rampd-investments-evidence-from-china,130
Do Tenure and Age of Board Chair Matter for R&D Investment?,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/publications/do-tenure-and-age-of-board-chair-matter-for-rampd-investment,131
"Audit Committee and Audit Quality: An Empirical Analysis Considering Industry Expertise, Legal Expertise and Gender Diversity",Salem Alhababsah,https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-audit-quality-an-empirical-analysis-consideri,132
Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,133
Non‑executive employee ownership and financial reporting quality: evidence from Europe,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/publications/nonexecutive-employee-ownership-and-financial-reporting-quality-e,134
Fair value accounting and value relevance of equity book value and net income for European financial firms during the crisis,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/publications/fair-value-accounting-and-value-relevance-of-equity-book-value-an,135
Does Accounting Treatment of Share-Based Payments Impact Performance Measures for Banks?,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/publications/does-accounting-treatment-of-share-based-payments-impact-performa,136
"Share-Option Based Compensation Expense, Shareholder Returns and Financial Crisis",Emran Ali,https://pureportal.coventry.ac.uk/en/publications/share-option-based-compensation-expense-shareholder-returns-and-f,137
Performance Analysis of Entropy Methods in Detecting Epileptic Seizure from Surface Electroencephalograms,Nadjim Horri,https://pureportal.coventry.ac.uk/en/publications/performance-analysis-of-entropy-methods-in-detecting-epileptic-se,138
Multi-point Angle of Attack Sensing for Avoidance of Loss of Control in Flight,Rashid Ali,https://pureportal.coventry.ac.uk/en/publications/multi-point-angle-of-attack-sensing-for-avoidance-of-loss-of-cont,139
An instructive algorithm for aircraft elevator sizing to be used in preliminary aircraft design software,Rashid Ali,https://pureportal.coventry.ac.uk/en/publications/an-instructive-algorithm-for-aircraft-elevator-sizing-to-be-used-,140
Employing control surface model in preliminary aircraft design software.,Rashid Ali,https://pureportal.coventry.ac.uk/en/publications/employing-control-surface-model-in-preliminary-aircraft-design-so,141
Environmental Impact of High Altitudes on the Operation of PEM Fuel Cell Based UAS,Rashid Ali,https://pureportal.coventry.ac.uk/en/publications/environmental-impact-of-high-altitudes-on-the-operation-of-pem-fu,142
Experimental Testing and Validation of the Mathematical Model for a Self-Humidifying PEM Fuel Cell,R. Ali,https://pureportal.coventry.ac.uk/en/publications/experimental-testing-and-validation-of-the-mathematical-model-for,143
A coupled drug kinetics-cell cycle model to analyse the response of human cells to intervention by topotecan,Reza Ali,https://pureportal.coventry.ac.uk/en/publications/a-coupled-drug-kinetics-cell-cycle-model-to-analyse-the-response-,144
